date,SMB_DT97,date_jun,RMW_DT97,CMA_DT97,HML_DT97
19670428,-0.011548825,19700630,0.028806914,-0.01757127,-0.037401268
19670531,0.031779742,19700630,-0.008474888,0.004175425,-0.006803413
19670630,0.043308258,19700630,0.017647169,-0.035588428,-0.021056037
19670731,0.033356414,19700630,0.001859341,-0.016662868,-0.00164452
19670831,0.001320737,19700630,-0.000578374,0.001178758,0.012328162
19670929,0.010408225,19700630,0.016717095,-0.021399485,-0.031396662
19671031,-0.008935164,19700630,0.031548814,-0.041474798,-0.053523652
19671130,0.005471588,19700630,0.032250642,-0.02549974,-0.024771233
19671229,0.027554766,19700630,0.005836887,-0.042649918,-0.011336491
19680131,0.035883845,19700630,-0.016422899,0.024134759,0.03309592
19680229,-0.01978013,19700630,0.004322002,0.01834568,0.007450074
19680329,-0.014573394,19700630,0.017230264,-0.026529136,-0.033316046
19680430,0.042073239,19700630,0.037860065,-0.047266318,-0.053488807
19680531,0.053712049,19700630,0.013227497,-0.046473378,-0.027269237
19680628,-0.008623169,19700630,-0.009016311,0.005071937,0.019641852
19680730,-0.02496231,19700630,-0.029629825,0.028043699,0.028413224
19680830,0.015457332,19700630,0.00416454,-0.014260523,-0.008577474
19680930,0.027041404,19700630,-0.018533407,-0.012918059,0.005357721
19681031,0.009126312,19700630,0.008937258,-0.000624942,0.000702612
19681129,0.01173085,19700630,-0.005908703,-0.020846826,-0.008395562
19681231,0.02760893,19700630,-0.000517107,-0.008882752,0.006002075
19690131,-0.003983222,19700630,-0.009555588,-0.001935508,0.002465481
19690228,-0.032019281,19700630,0.011925576,0.014103344,-0.010391157
19690328,-0.017170769,19700630,0.012415223,-0.019636327,-0.028563972
19690430,-0.020503287,19700630,0.021201966,-0.027826588,-0.038286889
19690529,-0.009622064,19700630,-0.000967902,-0.006349383,-0.01307264
19690630,-0.050090714,19700630,0.040658883,-0.00690469,-0.02933946
19690731,-0.038687307,19700630,0.02374284,-0.002939387,-0.014511324
19690829,0.003001117,19700630,0.010796068,-0.029608455,-0.053448711
19690930,0.005691344,19700630,0.03343755,-0.014313668,-0.043834168
19691031,0.02652037,19700630,0.017598931,-0.031131279,-0.019953127
19691128,-0.024058809,19700630,0.020437817,-0.017354666,-0.030391276
19691231,-0.040285974,19700630,0.035860064,-0.010932969,-0.051423645
19700130,0.024042571,19700630,-0.004896255,0.032418962,0.029445906
19700227,-0.021902314,19700630,-0.021082446,-0.014021861,0.025068348
19700331,-0.009293696,19700630,-0.005318385,0.037505971,0.040109548
19700430,-0.055440197,19700630,0.008409002,0.050907115,0.033293916
19700529,-0.048905462,19700630,0.003107417,0.031366707,0.018876752
19700630,-0.027607335,19700630,0.017811174,0.042815873,0.010437907
19660729,-6.09E-05,19710630,0.002302786,0.00484723,-0.002266558
19660831,-0.023216405,19710630,-0.002011469,0.003028842,0.014660467
19660930,-0.006599166,19710630,0.00408224,-0.00452295,0.003858409
19661031,-0.046770672,19710630,-0.000205188,-0.015011312,0.007683103
19661130,0.011774831,19710630,0.016902191,-0.04510369,-0.028978243
19661230,0.017099316,19710630,-0.005813431,-0.005718992,-0.001897731
19670131,0.079317039,19710630,-0.027108364,0.030236644,0.01250342
19670228,0.009202439,19710630,0.01263154,-0.028367499,-0.02668443
19670331,0.00336415,19710630,0.01235766,-0.007276428,-0.018628087
19670428,-0.010292032,19710630,0.009205838,0.01075967,-0.031656119
19670531,0.03565415,19710630,0.002507387,-0.012388077,-0.0058846
19670630,0.046094417,19710630,0.002215737,-0.026021035,-0.019434905
19670731,0.031685337,19710630,-0.016344235,0.022849134,-0.00148003
19670831,-0.001558688,19710630,-0.003152012,0.002692826,0.008369393
19670929,0.011448052,19710630,0.017973854,-0.01581765,-0.030800348
19671031,-0.01679741,19710630,0.04424205,-0.036741652,-0.068114716
19671130,-0.002052602,19710630,0.022097067,-0.015609347,-0.026536045
19671229,0.025397437,19710630,-0.018491524,-0.009217987,0.002079752
19680131,0.043956851,19710630,-0.008564744,0.002413208,0.004590986
19680229,-0.015201875,19710630,0.015160602,-0.002113081,-0.003296435
19680329,-0.019946987,19710630,0.016826,-0.01280231,-0.033017092
19680430,0.038540657,19710630,0.014411868,-0.015037085,-0.042301994
19680531,0.053537054,19710630,0.017213091,-0.030896941,-0.040112099
19680628,-0.000877723,19710630,-0.007438673,-0.004849902,-0.000519737
19680730,-0.024964438,19710630,0.002291927,-0.00178528,0.005868527
19680830,0.018159308,19710630,-0.004112064,-0.015478649,-0.011270801
19680930,0.020127634,19710630,-0.023681428,0.028739466,0.016870407
19681031,0.003583815,19710630,0.007779712,0.002352396,0.002984176
19681129,0.014069537,19710630,-0.006639383,-0.028299765,-0.006061608
19681231,0.031176159,19710630,-0.003382885,-0.001062686,-0.007704877
19690131,-0.006945385,19710630,-0.00433361,-0.012319444,-0.000368066
19690228,-0.034543902,19710630,0.024480257,-0.004844355,-0.016079097
19690328,-0.020007217,19710630,0.011727266,-0.014739606,-0.030235169
19690430,-0.022014418,19710630,0.020214034,-0.034346473,-0.026781783
19690529,-0.015927899,19710630,0.005478923,-0.008688377,-0.014425017
19690630,-0.050403252,19710630,0.034612733,-0.037949845,-0.035503984
19690731,-0.036128404,19710630,0.035541436,-0.029710795,-0.013663997
19690829,0.000582315,19710630,0.007484945,-0.008288083,-0.03688293
19690930,0.001717116,19710630,0.021410214,-0.021086697,-0.048630513
19691031,0.024595127,19710630,0.02012025,-0.03731501,-0.013866455
19691128,-0.024720701,19710630,0.029537868,-0.036350765,-0.035287648
19691231,-0.036916482,19710630,0.04925015,-0.05320622,-0.061511236
19700130,0.031183135,19710630,0.011456614,-0.003507093,-0.010502351
19700227,-0.016642434,19710630,-0.009442063,-0.004061902,0.010789218
19700331,-0.009662333,19710630,0.011259387,0.033440069,0.02074124
19700430,-0.052396782,19710630,0.026393334,0.014581998,0.010335411
19700529,-0.042104382,19710630,0.023401525,0.001915683,0.004149549
19700630,-0.031118406,19710630,0.058135347,-0.007812586,-0.043863341
19700731,-0.003123645,19710630,0.011375504,0.01474948,-0.019031957
19700831,0.015956129,19710630,-0.012901105,0.0325436,0.009466823
19700930,0.061298734,19710630,-0.010689191,-0.026492003,-0.015974478
19701030,-0.041586709,19710630,0.058864872,-0.029001497,-0.049989274
19701130,-0.026833167,19710630,0.024432647,0.00968595,-0.012682401
19701231,0.037828787,19710630,-0.013666661,0.002815947,0.014463044
19710129,0.066300829,19710630,-0.041665974,0.01132013,0.046291763
19710226,0.016342385,19710630,0.016154555,-0.004588195,-0.005776076
19710331,0.008463391,19710630,0.010537097,-0.003810628,-0.027346109
19710430,-0.005379073,19710630,-0.024888068,0.027324462,0.015694629
19710528,-0.012807584,19710630,0.017049479,3.99E-05,-0.003377927
19710630,-0.024611996,19710630,0.024085203,-0.030307242,-0.011385562
19670731,0.031342484,19720630,0.002294256,0.007851002,0.001672165
19670831,0.003257005,19720630,0.001397676,-0.017346242,0.008220712
19670929,0.019223586,19720630,0.013355421,-0.008544717,-0.057366395
19671031,-0.008564602,19720630,0.035014237,-0.028697551,-0.066728142
19671130,-0.006752482,19720630,0.010098211,-0.008506195,-0.019962378
19671229,0.031481736,19720630,-0.007110963,0.006983456,-0.009650717
19680131,0.047849895,19720630,-0.003719237,-0.018751425,0.015524893
19680229,-0.018025661,19720630,0.017904235,-0.008363911,0.00517736
19680329,-0.028197595,19720630,0.01503029,-0.009018421,-0.023155363
19680430,0.032540116,19720630,0.027476012,-0.004864879,-0.058789921
19680531,0.051634367,19720630,0.013226695,0.001889701,-0.039764816
19680628,0.004359135,19720630,-0.016804512,-0.00974135,0.01890234
19680730,-0.01587536,19720630,0.020959187,-0.025229716,0.010470778
19680830,0.015344111,19720630,0.004966297,-0.000110152,-0.014371626
19680930,0.021559906,19720630,-0.012118379,0.023642846,-0.006545118
19681031,0.00588493,19720630,0.009256949,0.005377558,0.005910072
19681129,0.01875783,19720630,-0.012304386,-0.009286565,-0.006759825
19681231,0.032098799,19720630,-0.016347397,0.008035589,-0.006998074
19690131,-0.000594764,19720630,-0.011729046,-0.007980762,0.003925988
19690228,-0.040277738,19720630,0.031161256,-0.018719806,-0.004734414
19690328,-0.017483037,19720630,0.014206366,-0.027696407,-0.020786381
19690430,-0.021512031,19720630,0.011886083,-0.024194423,-0.029323965
19690529,-0.013338558,19720630,0.005843157,-0.027953318,-0.00718182
19690630,-0.054430468,19720630,0.028934091,-0.036395394,-0.022906864
19690731,-0.039078041,19720630,0.019373734,-0.022948057,-0.008238573
19690829,-0.004985009,19720630,0.009086496,-0.005667722,-0.031077908
19690930,-0.0011272,19720630,0.014007551,-0.020436563,-0.026152342
19691031,0.021961843,19720630,0.009477418,1.84E-05,-0.035119029
19691128,-0.025667391,19720630,0.014029104,-0.017500997,-0.026900983
19691231,-0.04155326,19720630,0.030329891,-0.037895182,-0.033363499
19700130,0.028297047,19720630,-0.01524816,-0.013195856,0.015572031
19700227,-0.016875815,19720630,-0.008527507,0.009029535,0.029513265
19700331,-0.007378276,19720630,-0.004300613,0.006672574,0.013040411
19700430,-0.060424077,19720630,0.019050108,-0.010473484,0.032777713
19700529,-0.04041609,19720630,0.023337797,-0.012295047,0.007596948
19700630,-0.031499729,19720630,0.037412967,-0.016920964,-0.018407889
19700731,-0.012815649,19720630,0.007021404,-0.006795217,-0.012546676
19700831,0.016281776,19720630,0.018614099,0.00489421,-0.015604915
19700930,0.062544311,19720630,-0.022403925,0.010059224,-0.049964153
19701030,-0.049659793,19720630,0.050700509,-0.05560166,-0.031346929
19701130,-0.034884289,19720630,0.035354663,-0.026375771,-0.002329015
19701231,0.035915849,19720630,0.003172933,-0.002438677,0.025306466
19710129,0.064015562,19720630,-0.027289074,0.029851553,0.001715311
19710226,0.014661595,19720630,0.024718084,-0.013114756,-0.033599573
19710331,0.003767103,19720630,0.020888527,-0.023031079,-0.042372171
19710430,-0.011424087,19720630,0.01323435,0.010364441,-0.02651152
19710528,-0.020426678,19720630,0.019993972,-0.003746314,-0.016965963
19710630,-0.026490299,19720630,0.032829488,-0.03556069,-0.017264928
19710730,-0.008150686,19720630,0.030824945,-0.01808481,-0.018019462
19710831,0.004379001,19720630,0.011312369,0.016344175,0.006780363
19710930,-0.011429027,19720630,0.049020955,-0.032662076,-0.040156794
19711029,-0.023821374,19720630,0.028129549,-0.020930861,-0.015790067
19711130,-0.031073243,19720630,0.031594654,-0.010187366,-0.032356624
