date_m,SMB_DT97,date_jun,HML_DT97,RMW_DT97,CMA_DT97,MKT_DT97
195911,0.0018062126,196406,-0.018891854,-0.013975057,-0.017982084,0.014261170530319214
195912,-0.0074174367,196406,0.011788581,0.011480838,-0.0018733069,0.027177285215258598
196001,0.01653808,196406,-0.004601091,0.0042496473,-0.01381661,-0.06634314732551574
196002,-0.01169841,196406,-0.03005991,0.010138038,-0.0110025685,0.017681886172294617
196003,-0.014562497,196406,-0.048928924,0.025773477,-0.018462574,-0.011086588617414135
196004,-0.0071559884,196406,-0.046582017,0.031105876,-0.029253883,-0.01374268854558468
196005,-0.00775858,196406,-0.025967292,0.041519422,-0.023002388,0.02792143176794052
196006,-0.0056590233,196406,-0.033414718,0.0035184752,-0.01778064,0.02603237854540348
196007,-0.003098365,196406,0.01913352,-0.016707767,0.0076926704,-0.01769602892100811
196008,0.0013642311,196406,-0.005541127,0.002016168,-0.010051746,0.03522515939474106
196009,-0.008699454,196406,0.008379355,0.0074308887,0.004124388,-0.054901602602005
196010,-0.032484535,196406,-0.00901866,-0.023471186,-0.015253387,-0.002757384511921555
196011,0.0052108318,196406,-0.023153927,-0.0023409128,-0.01924856,0.04582599143385887
196012,-0.013393611,196406,-0.011140026,0.008840468,-0.005707238,0.050195035600662234
196101,0.022090852,196406,0.040854476,-0.0026107728,0.02360753,0.0643710890173912
196102,0.036668852,196406,0.010654725,0.0037456863,-0.007429853,0.03264635563492775
196103,0.021998132,196406,-0.008154891,-0.0065918565,-0.01744634,0.029267903745174406
196104,-0.0036178236,196406,-0.024146074,-0.004465555,-0.008817617,0.007437057699263096
196105,0.022371026,196406,0.012533348,0.0029336866,-0.004781645,0.026625086289644242
196106,-0.023412863,196406,-0.017001837,0.014765466,-0.0037423596,-0.026330090731382372
196107,-0.02364387,196406,-0.007833147,0.01068072,0.0031178407,0.03256186164617538
196108,0.0013394915,196406,-0.030223334,0.0016260259,-0.017664835,0.023728576904535295
196109,-0.014685376,196406,-0.034602504,0.052909724,-0.015274547,-0.014512815606594086
196110,-0.011199074,196406,-0.030145627,0.015802456,-0.03002734,0.0318483324110508
196111,0.0013892688,196406,-0.0147012845,0.0010619685,0.00266945,0.04804243078827858
196112,-0.012104508,196406,0.023325212,-0.03487715,0.006473802,0.006593875153362751
196201,0.020739343,196406,0.0374791,-0.0030518044,0.007688675,-0.034374561512470245
196202,-0.0075573623,196406,-0.0058144405,-0.0070452075,0.0019217189,0.02113231863081455
196203,-0.0036836967,196406,-0.030092884,0.011936156,-0.016913416,-0.004872775308787823
196204,-0.009359106,196406,-0.002172619,0.00034825876,0.0053110644,-0.06095706300139427
196205,-0.022552341,196406,0.032742567,-0.019646212,0.016282156,-0.0811149965763092
196206,0.00085439533,196406,-0.015360981,-0.0018363595,0.014550373,-0.08178861778974533
196207,-0.008378908,196406,-0.029017456,0.024464257,-0.014820091,0.0650904486656189
196208,0.00068198517,196406,-0.012794001,0.0018575285,-0.009873658,0.022771902200579643
196209,-0.013208825,196406,-0.016912255,0.009512037,0.0014509931,-0.0478235649228096
196210,-0.028091125,196406,-0.00438565,0.008321828,0.0003049355,0.006337053552269935
196211,0.024429873,196406,0.011139408,-0.0073328167,-0.012510121,0.10891932654380798
196212,-0.025573637,196406,-0.037901863,0.0121560125,-0.014749544,0.01607763749063015
196301,0.029261876,196406,0.003028296,0.016447362,0.006930046,0.04890317603945732
196302,0.0050717667,196406,0.010665835,0.0016517341,-0.005250875,-0.023653675052523613
196303,-0.022177558,196406,-0.00026983395,-0.0029963981,-0.003736671,0.035992270153760914
196304,-0.021905174,196406,0.004334837,0.0025692582,-0.02315795,0.0479879429936409
196305,0.0077853873,196406,0.018454783,0.0038866624,-0.00671931,0.020276752880215645
196306,0.00015843846,196406,-0.010725178,-0.014190609,-0.0017341208,-0.02065198700428009
196307,-0.012108457,196406,-0.029474191,0.015347116,-0.016783627,-0.0020779148790054025
196308,-0.004478235,196406,0.0060667098,0.0039023608,-0.018746268,0.05199916049838066
196309,-0.012928201,196406,-0.0058580264,0.0035423096,-0.011337853,-0.012392210704088212
196310,-0.011678172,196406,-0.01315642,0.029016374,-0.0019191392,0.03247697345018387
196311,-0.010397198,196406,0.013463725,-0.009616319,0.007157813,-0.006456127087399364
196312,-0.016821023,196406,-0.02185277,0.011097601,-0.017307423,0.022403008034825325
196401,-0.008127933,196406,0.013044058,0.00089333765,-0.0027658027,0.02643137474358082
196402,0.006405318,196406,0.023873666,0.0029520951,-0.008319475,0.016772841343283655
196403,0.021599103,196406,0.05299067,-0.028788796,0.012956673,0.015033828416466713
196404,-0.00740432,196406,8.6197164e-05,-0.022999234,-0.006550991,0.005865578269958496
196405,-0.0043118866,196406,0.0016827676,0.0026376853,-0.0029119672,0.013819906169176102
196406,0.0047124065,196406,0.013813008,-0.0096842125,-0.013125136,0.01638801445066929
196007,-0.0023859907,196506,0.017778248,-0.017371342,0.0018778015,-0.018287010836601256
196008,0.0014358871,196506,-0.01828339,0.0032698773,-0.0061357766,0.03558873282670975
196009,-0.009719778,196506,0.001293458,-0.004034277,0.009768948,-0.05616362664699554
196010,-0.03287028,196506,-1.04848295e-05,-0.015359305,-0.011003959,-0.0032687168687582017
196011,0.006303534,196506,-0.018537275,-0.002604179,-0.015918128,0.046650800508260724
196012,-0.011178941,196506,0.001538571,0.0002349168,0.008397263,0.048070867621898654
196101,0.021660678,196506,0.018212132,-0.00075960904,0.018725872,0.06329973278045654
196102,0.03686062,196506,0.0038595796,0.0033605732,-0.010501556,0.0339945754468441
